0,1
image_path,dominant_color
screenshots\machinery\1k62.com.jpg,"[204, 204, 204]"
screenshots\machinery\abe-kamery.pl.jpg,"[51, 51, 51]"
screenshots\machinery\acvrn.ru.jpg,"[204, 255, 255]"
screenshots\machinery\advantageequipment.net.jpg,"[153, 204, 204]"
screenshots\machinery\agro-kowalski.com.pl.jpg,"[102, 102, 102]"
screenshots\machinery\airtrack.ru.jpg,"[204, 204, 204]"
screenshots\machinery\akku-system.hu.jpg,"[51, 51, 51]"
screenshots\machinery\alfamash.ru.jpg,"[51, 51, 51]"
screenshots\machinery\algoritm.ru.jpg,"[51, 102, 153]"
screenshots\machinery\all-ready.ru.jpg,"[0, 51, 102]"
screenshots\machinery\altis.com.pl.jpg,"[102, 102, 102]"
screenshots\machinery\amtexinc.com.jpg,"[204, 204, 204]"
screenshots\machinery\angpol.pl.jpg,"[0, 51, 102]"
screenshots\machinery\as-ob.ru.jpg,"[51, 51, 51]"
screenshots\machinery\astonauto.ru.jpg,"[51, 51, 51]"
screenshots\machinery\astrade.ru.jpg,"[51, 51, 102]"
screenshots\machinery\avto-master.ru.jpg,"[204, 255, 255]"
screenshots\machinery\avtodvor.com.ua.jpg,"[204, 255, 255]"
screenshots\machinery\avtotool.ru.jpg,"[204, 204, 204]"
screenshots\machinery\babinorezka.ru.jpg,"[102, 102, 102]"
screenshots\machinery\bardonsoliver.com.jpg,"[153, 204, 204]"
screenshots\machinery\barudan.fr.jpg,"[0, 51, 153]"
screenshots\machinery\bendpak.ru.jpg,"[204, 204, 204]"
screenshots\machinery\bkf.pl.jpg,"[204, 204, 204]"
screenshots\machinery\blackhawkparts.com.jpg,"[204, 204, 204]"
screenshots\machinery\bruel.dk.jpg,"[102, 102, 102]"
screenshots\machinery\btexindia.com.jpg,"[204, 204, 204]"
screenshots\machinery\bulmach.com.jpg,"[204, 204, 204]"
screenshots\machinery\business.chinatool.net.jpg,"[204, 204, 204]"
screenshots\machinery\capitalwood.ru.jpg,"[204, 204, 204]"
screenshots\machinery\car-tool.ru.jpg,"[204, 204, 204]"
screenshots\machinery\cdfm.pagesperso-orange.fr.jpg,"[204, 204, 204]"
screenshots\machinery\centerless.com.jpg,"[51, 51, 51]"
screenshots\machinery\centrisys.us.jpg,"[204, 204, 204]"
screenshots\machinery\cleantec.ru.jpg,"[0, 51, 153]"
screenshots\machinery\cmj.citizen.co.jp.jpg,"[51, 51, 51]"
screenshots\machinery\cotlomash.ru.jpg,"[102, 153, 204]"
screenshots\machinery\curvac.com.jpg,"[51, 51, 51]"
screenshots\machinery\davispackaging.net.jpg,"[102, 153, 153]"
screenshots\machinery\deg.ru.jpg,"[51, 51, 51]"
screenshots\machinery\deltacorp.com.ua.jpg,"[204, 204, 204]"
screenshots\machinery\dharmshil.com.jpg,"[204, 204, 204]"
screenshots\machinery\diamir.su.jpg,"[51, 51, 51]"
screenshots\machinery\doktor-schulze.ru.jpg,"[0, 0, 0]"
screenshots\machinery\dokummakina.com.tr.jpg,"[51, 51, 102]"
screenshots\machinery\doudoux.pagesperso-orange.fr.jpg,"[0, 102, 102]"
screenshots\machinery\duering.ru.jpg,"[204, 204, 204]"
screenshots\machinery\dvpg.com.jpg,"[204, 204, 204]"
screenshots\machinery\dyeingmachineindia.com.jpg,"[0, 0, 0]"
screenshots\machinery\ei-neon.ru.jpg,"[153, 153, 153]"
screenshots\machinery\eko-klimat.pl.jpg,"[255, 255, 204]"
screenshots\machinery\emporia.pl.jpg,"[204, 255, 255]"
screenshots\machinery\emrickmachinery.com.jpg,"[51, 51, 51]"
screenshots\machinery\energorezerv.biz.jpg,"[102, 153, 204]"
screenshots\machinery\enguixmaquinariaagricola.com.jpg,"[153, 153, 102]"
screenshots\machinery\enigma.przeworsk.pl.jpg,"[255, 255, 204]"
screenshots\machinery\equipment-engineering.co.nz.jpg,"[204, 255, 255]"
screenshots\machinery\erin.com.ar.jpg,"[204, 204, 204]"
screenshots\machinery\esab.ru.jpg,"[0, 0, 0]"
screenshots\machinery\essautomation.com.jpg,"[0, 0, 102]"
